from,to,count
2021-10-22T14:16:32-04:00,2021-10-23T08:28:47-04:00,0
2021-10-23T08:28:48-04:00,2021-10-24T02:41:03-04:00,0
2021-10-24T02:41:04-04:00,2021-10-24T20:53:19-04:00,0
2021-10-24T20:53:20-04:00,2021-10-25T15:05:35-04:00,0
2021-10-25T15:05:36-04:00,2021-10-26T09:17:51-04:00,0
2021-10-26T09:17:52-04:00,2021-10-27T03:30:07-04:00,0
2021-10-27T03:30:08-04:00,2021-10-27T21:42:23-04:00,0
2021-10-27T21:42:24-04:00,2021-10-28T15:54:39-04:00,0
2021-10-28T15:54:40-04:00,2021-10-29T10:06:55-04:00,0
2021-10-29T10:06:56-04:00,2021-10-30T04:19:11-04:00,0
2021-10-30T04:19:12-04:00,2021-10-30T22:31:27-04:00,0
2021-10-30T22:31:28-04:00,2021-10-31T16:43:43-04:00,0
2021-10-31T16:43:44-04:00,2021-11-01T10:55:59-04:00,0
2021-11-01T10:56:00-04:00,2021-11-02T05:08:15-04:00,0
2021-11-02T05:08:16-04:00,2021-11-02T23:20:31-04:00,0
2021-11-02T23:20:32-04:00,2021-11-03T17:32:47-04:00,0
2021-11-03T17:32:48-04:00,2021-11-04T11:45:03-04:00,0
2021-11-04T11:45:04-04:00,2021-11-05T05:57:19-04:00,0
2021-11-05T05:57:20-04:00,2021-11-06T00:09:35-04:00,0
2021-11-06T00:09:36-04:00,2021-11-06T18:21:51-04:00,0
2021-11-06T18:21:52-04:00,2021-11-07T11:34:07-05:00,0
2021-11-07T11:34:08-05:00,2021-11-08T05:46:23-05:00,0
2021-11-08T05:46:24-05:00,2021-11-08T23:58:39-05:00,0
2021-11-08T23:58:40-05:00,2021-11-09T18:10:55-05:00,0
2021-11-09T18:10:56-05:00,2021-11-10T12:23:11-05:00,0
2021-11-10T12:23:12-05:00,2021-11-11T06:35:27-05:00,0
2021-11-11T06:35:28-05:00,2021-11-12T00:47:43-05:00,0
2021-11-12T00:47:44-05:00,2021-11-12T18:59:59-05:00,0
2021-11-12T19:00:00-05:00,2021-11-13T13:12:15-05:00,0
2021-11-13T13:12:16-05:00,2021-11-14T07:24:31-05:00,0
2021-11-14T07:24:32-05:00,2021-11-15T01:36:47-05:00,0
2021-11-15T01:36:48-05:00,2021-11-15T19:49:03-05:00,0
2021-11-15T19:49:04-05:00,2021-11-16T14:01:19-05:00,0
2021-11-16T14:01:20-05:00,2021-11-17T08:13:35-05:00,0
2021-11-17T08:13:36-05:00,2021-11-18T02:25:51-05:00,0
2021-11-18T02:25:52-05:00,2021-11-18T20:38:07-05:00,0
2021-11-18T20:38:08-05:00,2021-11-19T14:50:23-05:00,0
2021-11-19T14:50:24-05:00,2021-11-20T09:02:39-05:00,0
2021-11-20T09:02:40-05:00,2021-11-21T03:14:55-05:00,0
2021-11-21T03:14:56-05:00,2021-11-21T21:27:11-05:00,0
2021-11-21T21:27:12-05:00,2021-11-22T15:39:27-05:00,0
2021-11-22T15:39:28-05:00,2021-11-23T09:51:43-05:00,0
2021-11-23T09:51:44-05:00,2021-11-24T04:03:59-05:00,0
2021-11-24T04:04:00-05:00,2021-11-24T22:16:15-05:00,0
2021-11-24T22:16:16-05:00,2021-11-25T16:28:31-05:00,0
2021-11-25T16:28:32-05:00,2021-11-26T10:40:47-05:00,0
2021-11-26T10:40:48-05:00,2021-11-27T04:53:03-05:00,0
2021-11-27T04:53:04-05:00,2021-11-27T23:05:19-05:00,0
2021-11-27T23:05:20-05:00,2021-11-28T17:17:35-05:00,0
2021-11-28T17:17:36-05:00,2021-11-29T11:29:51-05:00,0
2021-11-29T11:29:52-05:00,2021-11-30T05:42:07-05:00,0
2021-11-30T05:42:08-05:00,2021-11-30T23:54:23-05:00,0
2021-11-30T23:54:24-05:00,2021-12-01T18:06:39-05:00,0
2021-12-01T18:06:40-05:00,2021-12-02T12:18:55-05:00,0
2021-12-02T12:18:56-05:00,2021-12-03T06:31:11-05:00,0
2021-12-03T06:31:12-05:00,2021-12-04T00:43:27-05:00,0
2021-12-04T00:43:28-05:00,2021-12-04T18:55:43-05:00,0
2021-12-04T18:55:44-05:00,2021-12-05T13:07:59-05:00,0
2021-12-05T13:08:00-05:00,2021-12-06T07:20:15-05:00,0
2021-12-06T07:20:16-05:00,2021-12-07T01:32:31-05:00,0
2021-12-07T01:32:32-05:00,2021-12-07T19:44:47-05:00,0
2021-12-07T19:44:48-05:00,2021-12-08T13:57:03-05:00,0
2021-12-08T13:57:04-05:00,2021-12-09T08:09:19-05:00,0
2021-12-09T08:09:20-05:00,2021-12-10T02:21:35-05:00,0
2021-12-10T02:21:36-05:00,2021-12-10T20:33:51-05:00,0
2021-12-10T20:33:52-05:00,2021-12-11T14:46:07-05:00,0
2021-12-11T14:46:08-05:00,2021-12-12T08:58:23-05:00,0
2021-12-12T08:58:24-05:00,2021-12-13T03:10:39-05:00,0
2021-12-13T03:10:40-05:00,2021-12-13T21:22:55-05:00,7
